City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Garissa,KE,2021-12-21 13:25:09,-0.4536,39.6401,89.4,52,100,9.44
187,Walvis Bay,NA,2021-12-21 13:25:10,-22.9575,14.5053,70.09,63,5,16.26
188,Satana,IN,2021-12-21 13:25:10,20.5833,74.2,73.13,35,78,3.02
189,Tortoli,IT,2021-12-21 13:25:11,39.9256,9.6572,57.94,64,28,5.28
190,Druzhba,UA,2021-12-21 13:25:11,52.0428,33.9453,10.27,70,100,11.63
191,Morton,US,2021-12-21 13:25:11,46.7722,-101.2615,15.98,83,100,17.2
192,Kovylkino,RU,2021-12-21 13:25:12,54.0388,43.9139,9.82,94,99,6.85
193,Grosse Pointe Park,US,2021-12-21 13:25:12,42.3759,-82.9374,29.25,92,1,0.0
194,Havoysund,NO,2021-12-21 13:25:12,70.9963,24.6622,28.63,73,100,4.99
195,Lasa,IT,2021-12-21 13:25:13,46.6166,10.7002,38.28,70,1,1.39
196,Sao Joao Da Barra,BR,2021-12-21 13:25:13,-21.6403,-41.0511,78.89,71,30,9.53
197,Terme,TR,2021-12-21 13:25:13,41.2092,36.9739,46.96,75,100,11.23
198,Masvingo,ZW,2021-12-21 13:25:14,-20.0637,30.8277,78.82,51,92,5.91
199,Victoria,HK,2021-12-21 13:25:14,22.2855,114.1577,66.25,88,99,7.0
200,Sokoni,TZ,2021-12-21 13:25:14,-6.4333,39.55,83.17,71,72,9.6
201,Bosobolo,CD,2021-12-21 13:25:15,4.1833,19.9,97.29,23,100,6.24
202,Torbay,CA,2021-12-21 13:25:15,47.6666,-52.7314,24.58,75,75,9.22
203,Mysliborz,PL,2021-12-21 13:25:15,52.9238,14.8679,37.24,71,100,3.47
204,Carutapera,BR,2021-12-21 13:25:16,-1.195,-46.02,87.13,58,86,10.58
205,Valparaiso,CL,2021-12-21 13:25:16,-33.0393,-71.6273,63.48,83,90,5.75
206,Vestmanna,FO,2021-12-21 13:25:17,62.1564,-7.1664,34.72,87,75,11.5
207,Dakar,SN,2021-12-21 13:20:39,14.6937,-17.4441,81.48,44,100,0.0
208,Bengkulu,ID,2021-12-21 13:25:17,-3.8004,102.2655,80.01,77,100,3.76
209,Tias,ES,2021-12-21 13:25:17,28.9611,-13.645,74.95,68,20,9.22
210,Berlevag,NO,2021-12-21 13:25:18,70.8578,29.0864,22.8,86,75,12.66
211,Turbat,PK,2021-12-21 13:25:18,26.0023,63.044,78.96,36,1,8.16
212,Tapes,BR,2021-12-21 13:25:18,-30.6733,-51.3958,77.9,66,18,1.52
213,Tobol,KZ,2021-12-21 13:25:19,52.6844,62.5794,32.72,94,100,15.26
214,Yenagoa,NG,2021-12-21 13:25:19,4.9247,6.2642,97.86,19,98,6.38
215,Husavik,IS,2021-12-21 13:25:19,66.0449,-17.3389,21.11,85,11,3.71
216,Port-Gentil,GA,2021-12-21 13:25:20,-0.7193,8.7815,87.76,74,75,12.66
217,Cidreira,BR,2021-12-21 13:25:20,-30.1811,-50.2056,77.97,69,0,4.03
218,Matara,LK,2021-12-21 13:25:20,5.9485,80.5353,78.08,86,8,1.92
219,Harper,LR,2021-12-21 13:25:21,4.375,-7.7169,87.76,52,94,5.61
220,Barkly West,ZA,2021-12-21 13:25:21,-28.5354,24.5215,85.28,26,91,11.18
221,Inirida,CO,2021-12-21 13:25:21,3.8653,-67.9239,77.14,92,100,2.51
222,Gijon,ES,2021-12-21 13:24:05,43.5357,-5.6615,69.44,69,38,4.0
223,Bad Durkheim,DE,2021-12-21 13:25:22,49.4686,8.1664,40.93,61,5,5.46
224,Ihiala,NG,2021-12-21 13:25:22,5.8538,6.8603,96.94,19,88,7.7
225,Kalisz,PL,2021-12-21 13:26:23,51.7611,18.091,29.71,55,73,5.26
226,Nizwa,OM,2021-12-21 13:26:23,22.9333,57.5333,81.73,19,86,7.72
227,Casablanca,MA,2021-12-21 13:26:23,33.5928,-7.6192,82.42,33,75,13.0
228,Robertsport,LR,2021-12-21 13:26:23,6.7533,-11.3686,85.08,58,98,5.21
229,Mandal,IN,2021-12-21 13:26:24,25.45,74.5667,66.25,19,0,3.91
230,Strathpeffer,GB,2021-12-21 13:26:24,57.588,-4.5382,39.7,96,93,1.07
231,Taft,IR,2021-12-21 13:26:24,31.7471,54.2088,66.15,30,40,9.22
232,Benghazi,LY,2021-12-21 13:26:25,32.1167,20.0667,62.42,55,80,11.5
233,Saint-Francois,FR,2021-12-21 13:26:25,46.4154,3.9054,39.67,71,75,4.61
234,Razole,IN,2021-12-21 13:26:25,16.4833,81.8333,79.09,70,5,3.24
235,Lyubashivka,UA,2021-12-21 13:26:26,47.8372,30.2598,23.72,55,100,17.98
236,Camabatela,AO,2021-12-21 13:26:26,-8.1881,15.375,78.15,68,99,3.38
237,Werota,ET,2021-12-21 13:26:26,11.9167,37.7,78.71,41,99,10.51
238,San Vicente,AR,2021-12-21 13:26:27,-26.6167,-54.1333,90.25,35,13,0.51
239,Agadez,NE,2021-12-21 13:26:27,19.75,10.25,67.42,17,6,9.84
240,Bonavista,CA,2021-12-21 13:26:27,48.6499,-53.1147,25.12,65,100,13.98
241,Sao Francisco,BR,2021-12-21 13:26:03,-15.9486,-44.8644,75.74,83,91,6.46
242,Taoudenni,ML,2021-12-21 13:26:28,22.6783,-3.9836,78.22,16,100,7.0
243,Snezhnogorsk,RU,2021-12-21 13:26:28,69.1933,33.2531,19.18,78,100,3.49
244,Kristiansund,NO,2021-12-21 13:26:29,63.1115,7.732,36.25,87,75,5.75
245,Rio Gallegos,AR,2021-12-21 13:21:36,-51.6226,-69.2181,60.85,48,75,35.68
246,Motul,MX,2021-12-21 13:26:29,21.1,-89.2833,72.99,76,100,6.35
247,Filadelfia,US,2021-12-21 13:22:00,39.9523,-75.1638,31.98,70,90,1.99
248,Abalak,RU,2021-12-21 13:26:30,58.1286,68.5944,23.16,95,100,7.9
249,Gravdal,NO,2021-12-21 13:26:30,68.1214,13.5031,28.29,59,0,5.75
250,Limon,CR,2021-12-21 13:26:30,10.0,-83.0333,73.29,94,0,4.61
251,Cap Malheureux,MU,2021-12-21 13:26:31,-19.9842,57.6142,81.09,90,100,5.01
252,Pustoshka,RU,2021-12-21 13:26:31,56.3355,29.369,12.9,87,100,7.65
253,Chambas,CU,2021-12-21 13:26:31,22.1928,-78.9136,73.02,82,82,3.15
254,Axim,GH,2021-12-21 13:26:32,4.8699,-2.2405,90.07,42,96,5.32
255,Tobermory,CA,2021-12-21 13:26:32,45.2501,-81.6665,20.3,67,93,8.14
256,Burayevo,RU,2021-12-21 13:26:33,55.8407,55.4083,32.04,99,100,5.66
257,Manicore,BR,2021-12-21 13:26:33,-5.8092,-61.3003,77.11,93,100,1.72
258,Bonthe,SL,2021-12-21 13:26:34,7.5264,-12.505,89.78,43,87,4.54
259,Somerset,US,2021-12-21 13:22:30,40.5668,-74.5496,35.06,77,99,3.85
260,Venafro,IT,2021-12-21 13:26:34,41.4834,14.0451,52.34,71,89,1.9
261,Oranjemund,NA,2021-12-21 13:26:35,-28.55,16.4333,70.34,67,98,12.06
262,Noyabrsk,RU,2021-12-21 13:26:35,63.1994,75.4507,-1.91,97,100,15.39
263,Castro,BR,2021-12-21 13:26:25,-24.7911,-50.0119,79.14,38,0,2.3
264,Sidi Bin Nur,TN,2021-12-21 13:26:35,35.5333,10.9167,62.51,50,0,3.83
265,Port-Cartier,CA,2021-12-21 13:26:36,50.0334,-66.8654,14.22,96,100,6.46
266,Pokhara,NP,2021-12-21 13:26:36,28.2333,83.9833,52.47,46,54,5.93
267,Rio Grande,BR,2021-12-21 13:26:36,-32.035,-52.0986,78.94,69,94,6.08
